"Ensembl_ID","Gene_symbol","Log_FoldChange","logCPM","PValue","FDR_adjusted_P.value","Power","BCOV"
"ENSG00000180543","TSPYL5",-8.249,1.873,4.36210886415672e-17,9.72488550175099e-13,1,0.61
"ENSG00000156253","RWDD2B",-4.76,2.464,1.14134300534253e-16,1.27225504805532e-12,1,0.457
"ENSG00000198205","ZXDA",-7.653,0.754,7.05280045372785e-16,5.24117111051362e-12,1,0.564
"ENSG00000254245","PCDHGA3",-4.301,3.414,1.18655830820926e-15,6.61328273080433e-12,1,0.448
"ENSG00000107438","PDLIM1",2.976,4.817,4.17182170589821e-11,1.86013186222589e-07,1,0.406
"ENSG00000039537","C6",3.092,3.149,1.31921719349143e-10,4.90177135194967e-07,1,0.425
"ENSG00000177469","CAVIN1",2.801,5.853,1.22206116385449e-09,3.8920902267103e-06,1,0.42
"ENSG00000197308","GATA3-AS1",5.704,-0.085,2.28462782818649e-09,6.36668660019871e-06,1,0.649
"ENSG00000143631","FLG",-7.036,0.003,6.34387770044314e-09,1.42957088176999e-05,1,0.755
"ENSG00000160321","ZNF208",-3.881,2.754,7.5171937951329e-09,1.42957088176999e-05,1,0.569
"ENSG00000151789","ZNF385D",-2.47,4.74,7.69482846561399e-09,1.42957088176999e-05,1,0.393
"ENSG00000158270","COLEC12",2.668,6.896,7.1031302614589e-09,1.42957088176999e-05,1,0.422
"ENSG00000147257","GPC3",1.993,6.457,1.28733258967769e-08,2.20767636571341e-05,1,0.33
"ENSG00000259288","BUB1B-PAK6",6.668,-0.573,1.54559726438117e-08,2.46125324372241e-05,1,0.698
"ENSG00000070729","CNGB1",-2.319,4.565,2.35470743607094e-08,3.49972317198437e-05,1,0.383
"ENSG00000187323","DCC",-1.74,7.475,2.68644398618838e-08,3.74322388925524e-05,1,0.297
"ENSG00000176769","TCERG1L",4.69,0.882,3.44195467635158e-08,4.51381985615189e-05,1,0.664
"ENSG00000028277","POU2F2",-1.984,6.311,3.69746443339121e-08,4.57951511544576e-05,1,0.339
"ENSG00000253537","PCDHGA7",-3.727,1.817,7.60778253156804e-08,8.4803951879389e-05,1,0.585
"ENSG00000155324","GRAMD3",1.823,5.671,7.53177029484083e-08,8.4803951879389e-05,1,0.32
"ENSG00000174080","CTSF",-4.158,4.432,8.09656632164548e-08,8.59546902736973e-05,1,0.657
"ENSG00000263711","LOC400655",-4.598,1.585,9.71995397609958e-08,9.84984790650746e-05,1,0.694
"ENSG00000100101","NOL12",-9.573,1.054,1.14178211709818e-07,0.000110673437037334,1,1.039
"ENSG00000137834","SMAD6",2.159,3.885,1.5115348220566e-07,0.000140408988845541,1,0.38
"ENSG00000095739","BAMBI",2.231,5.974,2.47313330755181e-07,0.000218198319368151,1,0.403
"ENSG00000118523","CTGF",2.063,8.297,2.5447009525307e-07,0.000218198319368151,1,0.375
